Image Name,Payload (Bytes),Capacity (bpp),MSE,PSNR (dB)
baboon.png,500,0.0152587890625,0.6878509521484375,49.75586018086017
baboon.png,1000,0.030517578125,1.2301445007324219,47.23124231392153
baboon.png,2000,0.06103515625,2.238910675048828,44.63043593821815
baboon.png,3500,0.1068115234375,3.7826309204101562,42.35286392572492
boat.png,500,0.005536332179930796,0.19158339500427246,55.307224958462854
boat.png,1000,0.011072664359861591,0.22471557557582855,54.61447185412727
boat.png,2000,0.022145328719723183,0.26923874020576477,53.82942811084541
boat.png,3500,0.03875432525951557,0.34274187684059143,52.781131902877966
jet.png,500,0.0152587890625,0.3421440124511719,52.78871416658829
jet.png,1000,0.030517578125,0.5943183898925781,50.39061192101702
jet.png,2000,0.06103515625,1.0304412841796875,48.00057110685
jet.png,3500,0.1068115234375,1.5759811401367188,46.155293449120656
lena.png,500,0.0152587890625,0.3385963439941406,52.833980963795256
lena.png,1000,0.030517578125,0.5536727905273438,50.69827179624694
lena.png,2000,0.06103515625,0.93658447265625,48.415334073958064
lena.png,3500,0.1068115234375,1.4861793518066406,46.41009137715366
peppers.png,500,0.06103515625,2.0047454833984375,45.11021117164539
peppers.png,1000,0.1220703125,3.0245208740234375,43.32423774688812
peppers.png,2000,0.244140625,5.6743927001953125,40.591609727238506
peppers.png,3500,0.42724609375,10.165145874023438,38.05966745544727
